GameID,Season,Week,Home Team,Away Team,Listed Win,Other Win,Listed Score,Other Score,Conference Game,Division Game,Neutral Site,PreSeason,Conference Champ,Playoff,National Champ,Listed Coach,Other Coach,TimeSlot,Stadium,City,State,GameTitle,Info,NextGameID,HoA
654,2024,19,CIN,LAC,0,0,0,0,0,0,0,0,0,1,0,,,Sunday Noon,,,,,,660,A
655,2024,19,NYJ,MIA,0,0,0,0,0,0,0,0,0,1,0,,,Sunday Afternoon,,,,,,661,H
656,2024,19,TEN,CLE,0,0,0,0,0,0,0,0,0,1,0,,,Sunday Night Football,,,,,,661,A
657,2024,19,LAR,DET,0,0,0,0,0,0,0,0,0,1,0,,,Sunday Noon,,,,,,662,A
658,2024,19,GB,NYG,0,0,0,0,0,0,0,0,0,1,0,,,Sunday Afternoon,,,,,,663,H
659,2024,19,CAR,DAL,0,0,0,0,0,0,0,0,0,1,0,,,Sunday Night Football,,,,,,663,A
660,2024,20,DEN,N/A,0,0,0,0,0,0,0,0,0,1,0,,,Sunday Noon,,,,,,664,H
661,2024,20,N/A,N/A,0,0,0,0,0,0,0,0,0,1,0,,,Sunday Afternoon,,,,,,664,A
662,2024,20,WAS,N/A,0,0,0,0,0,0,0,0,0,1,0,,,Sunday Noon,,,,,,665,H
663,2024,20,N/A,N/A,0,0,0,0,0,0,0,0,0,1,0,,,Sunday Afternoon,,,,,,665,A
664,2024,21,N/A,N/A,0,0,0,0,0,0,0,0,0,1,0,,,Sunday Afternoon,,,,,,666,H
665,2024,21,N/A,N/A,0,0,0,0,0,0,0,0,0,1,0,,,Sunday Night Football,,,,,,666,A
666,2024,22,N/A,N/A,0,0,0,0,0,0,0,0,0,1,1,,,Sunday Night Football,,,,2024 SimNFL Superb Owl,,0,
