GameID,Season,Week,Home Team,Away Team,Listed Win,Other Win,Listed Score,Other Score,Conference Game,Division Game,Neutral Site,Conference Champ,Bowl Game,Playoff,National Champ,HomePrevBye,AwayPrevBye,Listed Coach,Other Coach,TimeSlot,Stadium,City,State,Domed Stadium,GameTitle,Info,NextGame,NextGameHoA
2865,2024,0,ARMY,UAB,0,0,0,0,1,0,0,0,0,0,0,0,0,brightfalls,AI,Saturday Morning,Blaik Field at Michie Stadium,West Point,NY,0,,,0,
2866,2024,0,MIZZ,BUFF,0,0,0,0,1,0,0,0,0,0,0,0,0,AI,AI,Saturday Morning,Faurot Field at Memorial Stadium,Columbia,MO,0,,,0,
2867,2024,0,BCU,PV,0,0,0,0,1,0,0,0,0,0,0,0,0,AI,AI,Thursday Night,Daytona Stadium,Daytona Beach,FL,0,,,0,
2868,2024,0,SOU,AAMU,0,0,0,0,1,0,0,0,0,0,0,0,0,AI,AI,Thursday Night,A.W. Mumford Stadium,Baton Rouge,LA,0,,,0,
2869,2024,0,UAPB,FAMU,0,0,0,0,1,0,0,0,0,0,0,0,0,AI,AI,Friday Night,Simmons Bank Field,Pine Bluff,AR,0,,,0,
2870,2024,0,TULS,UMD,0,0,0,0,0,0,0,0,0,0,0,0,0,acewulf,RobSun08,Saturday Afternoon,Skelly Field at H. A. Chapman Stadium,Tulsa,OK,0,,,0,
2871,2024,0,TLNE,ORST,0,0,0,0,0,0,0,0,0,0,0,0,0,kgreene829,SKLL,Friday Night,Barry B. Benson Field at Yulman Stadium,New Orleans,LA,0,,,0,
2872,2024,0,COLO,CSU,0,0,0,0,0,0,1,0,0,0,0,0,0,Bingo415,Bellwood,Saturday Morning,Mile High Stadium,Denver,CO,0,,,0,
2873,2024,0,NAVY,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,Syndakyt,LordLittlebutt,Saturday Morning,Navy-Marine Corps Memorial Stadium,Annapolis,MD,0,,,0,
2874,2024,0,ODU,CONN,0,0,0,0,0,0,0,0,0,0,0,0,0,AI,G Money,Thursday Night,Foreman Field at S. B. Ballard Stadium,Norfolk,VA,0,,,0,
2875,2024,0,WYOM,ARST,0,0,0,0,0,0,0,0,0,0,0,0,0,AI,AI,Saturday Morning,Jonah Field at War Memorial Stadium,Laramie,WY,0,,,0,
2876,2024,0,ULM,LT,0,0,0,0,0,0,0,0,0,0,0,0,0,AI,AI,Thursday Night,Joe Aillet Stadium,Monroe,LA,0,,,0,
2877,2024,0,ALCN,USM,0,0,0,0,0,0,0,0,0,0,0,0,0,AI,AI,Friday Night,Spinks-Casem Stadium,Lorman,MS,0,,,0,
2878,2024,0,BUCK,CCU,0,0,0,0,0,0,0,0,0,0,0,0,0,AI,AI,Thursday Night,Christy Mathewson-Memorial Stadium,Lewisburg,PA,0,,,0,
2879,2024,0,SDAK,DART,0,0,0,0,0,0,0,0,0,0,0,0,0,AI,AI,Friday Night,DakotaDome,Vermillion,SD,1,,,0,
2880,2024,1,NEB,ARST,0,0,0,0,0,0,0,0,0,0,0,0,0,huskersax,AI,Saturday Afternoon,"Memorial Stadium, Tom Osborne Field",Lincoln,NE,0,,,0,
2881,2024,1,UNM,UTEP,0,0,0,0,0,0,0,0,0,0,0,0,0,DarthJarJar,AI,Friday Night,Dreamstyle Stadium,Albuquerque,NM,0,,,0,
2882,2024,1,APST,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,Dearden,Piercewise1,Saturday Morning,Kidd Brewer Stadium,Boone,NC,0,,,0,
2883,2024,1,KANS,CLEM,0,0,0,0,0,0,0,0,0,0,0,0,0,bundy,Spoof,Saturday Afternoon,David Booth Kansas Memorial Stadium,Lawrence,KS,0,,,0,
2884,2024,1,WVU,MER,0,0,0,0,0,0,0,0,0,0,0,0,0,smackemz3,AI,Friday Night,Mountaineer Field at Milan Puskar Stadium,Morgantown,WV,0,,,0,
2885,2024,1,WISC,TENN,0,0,0,0,0,0,0,0,0,0,0,0,0,khweeler,tsweezy,Saturday Afternoon,Camp Randall Stadium,Madison,WI,0,,,0,
2886,2024,1,UTST,SMU,0,0,0,0,0,0,0,0,0,0,0,0,0,Ewade,jw1952tx,Thursday Night,Merlin Olsen Field at Maverik Stadium,Logan,UT,0,,,0,
