id,season_id,season,draft_round,draft_number,draftee_id,team_id,team,original_team_id,original_team,previous_team_id,previous_team,draft_value,notes,selected_player_id,selected_player_name,selected_player_position,is_compensation,is_void
449,5,2025,1,1,0,29,Arizona Cardinals,29,ARI,0,,9,,0,,,0,0
450,5,2025,1,8,0,25,Atlanta Falcons,25,ATL,0,,9,,0,,,0,0
451,5,2025,1,16,0,5,Baltimore Ravens,5,BAL,0,,9,,0,,,0,0
452,5,2025,1,5,0,1,Buffalo Bills,1,BUF,0,,9,,0,,,0,0
453,5,2025,1,23,0,26,Carolina Panthers,26,CAR,0,,9,,0,,,0,0
454,5,2025,1,17,0,21,Chicago Bears,21,CHI,0,,9,,0,,,0,0
455,5,2025,1,29,0,20,Washington Commanders,6,CIN,13,Denver Broncos,9,From Denver Broncos via CIN,0,,,0,0
456,5,2025,1,25,0,7,Cleveland Browns,7,CLE,0,,9,,0,,,0,0
457,5,2025,1,32,0,17,Dallas Cowboys,17,DAL,0,,9,,0,,,0,0
458,5,2025,1,31,0,18,New York Giants,13,DEN,13,DEN,9,From DEN,0,,,0,0
459,5,2025,1,19,0,22,Detroit Lions,22,DET,0,,9,,0,,,0,0
460,5,2025,1,27,0,23,Green Bay Packers,23,GB,0,,9,,0,,,0,0
461,5,2025,1,3,0,9,Houston Texans,9,HOU,0,,9,,0,,,0,0
462,5,2025,1,11,0,10,Indianapolis Colts,10,IND,0,,9,,0,,,0,0
463,5,2025,1,12,0,11,Jacksonville Jaguars,11,JAX,0,,9,,0,,,0,0
464,5,2025,1,4,0,14,Kansas City Chiefs,14,KC,0,,9,,0,,,0,0
465,5,2025,1,20,0,16,Los Angeles Chargers,16,LAC,0,,9,,0,,,0,0
466,5,2025,1,30,0,30,Los Angeles Rams,30,LAR,0,,9,,0,,,0,0
467,5,2025,1,15,0,15,Las Vegas Raiders,15,LV,0,,9,,0,,,0,0
468,5,2025,1,24,0,2,Miami Dolphins,2,MIA,0,,9,,0,,,0,0
469,5,2025,1,9,0,24,Minnesota Vikings,24,MIN,0,,9,,0,,,0,0
470,5,2025,1,10,0,3,New England Patriots,3,NE,0,,9,,0,,,0,0
471,5,2025,1,7,0,27,New Orleans Saints,27,NO,0,,9,,0,,,0,0
472,5,2025,1,22,0,18,New York Giants,18,NYG,0,,9,,0,,,0,0
473,5,2025,1,26,0,26,Carolina Panthers,4,NYJ,4,New York Jets,9,From NYJ,0,,,0,0
474,5,2025,1,18,0,19,Philadelphia Eagles,19,PHI,0,,9,,0,,,0,0
475,5,2025,1,13,0,8,Pittsburgh Steelers,8,PIT,0,,9,,0,,,0,0
476,5,2025,1,6,0,32,Seattle Seahawks,32,SEA,0,,9,,0,,,0,0
477,5,2025,1,2,0,31,San Francisco 49ers,31,SF,0,,9,,0,,,0,0
478,5,2025,1,14,0,28,Tampa Bay Buccaneers,28,TB,0,,9,,0,,,0,0
479,5,2025,1,21,0,14,Kansas City Chiefs,12,TEN,4,New York Jets,9,From New York Jets via TEN,0,,,0,0
480,5,2025,1,28,0,29,Arizona Cardinals,20,WAS,20,Washington Commanders,9,From WAS,0,,,0,0
481,5,2025,2,33,0,29,Arizona Cardinals,29,ARI,0,,4.9,,0,,,0,0
482,5,2025,2,40,0,25,Atlanta Falcons,25,ATL,0,,4.9,,0,,,0,0
483,5,2025,2,48,0,9,Houston Texans,5,BAL,20,Washington Commanders,4.9,From Washington Commanders via BAL,0,,,0,0
484,5,2025,2,37,0,1,Buffalo Bills,1,BUF,0,,4.9,,0,,,0,0
485,5,2025,2,55,0,26,Carolina Panthers,26,CAR,0,,4.9,,0,,,0,0
486,5,2025,2,49,0,21,Chicago Bears,21,CHI,0,,4.9,,0,,,0,0
487,5,2025,2,61,0,6,Cincinnati Bengals,6,CIN,0,,4.9,,0,,,0,1
488,5,2025,2,57,0,7,Cleveland Browns,7,CLE,0,,4.9,,0,,,0,0
489,5,2025,2,64,0,17,Dallas Cowboys,17,DAL,0,,4.9,,0,,,0,0
490,5,2025,2,63,0,12,Tennessee Titans,13,DEN,4,New York Jets,4.9,From New York Jets via DEN,0,,,0,0
491,5,2025,2,51,0,22,Detroit Lions,22,DET,0,,4.9,,0,,,0,0
492,5,2025,2,59,0,23,Green Bay Packers,23,GB,0,,4.9,,0,,,0,0
493,5,2025,2,35,0,24,Minnesota Vikings,9,HOU,9,Houston Texans,4.9,,0,,,0,0
494,5,2025,2,43,0,10,Indianapolis Colts,10,IND,0,,4.9,,0,,,0,0
495,5,2025,2,44,0,11,Jacksonville Jaguars,11,JAX,0,,4.9,,0,,,0,0
496,5,2025,2,36,0,14,Kansas City Chiefs,14,KC,0,,4.9,,0,,,0,0
497,5,2025,2,52,0,16,Los Angeles Chargers,16,LAC,0,,4.9,,0,,,0,0
498,5,2025,2,62,0,27,New Orleans Saints,30,LAR,4,New York Jets,4.9,From New York Jets via LAR,0,,,0,0
499,5,2025,2,47,0,15,Las Vegas Raiders,15,LV,0,,4.9,,0,,,0,0
500,5,2025,2,56,0,2,Miami Dolphins,2,MIA,0,,4.9,,0,,,0,0
501,5,2025,2,41,0,24,Minnesota Vikings,24,MIN,0,,4.9,,0,,,0,0
502,5,2025,2,42,0,30,Los Angeles Rams,3,NE,3,New England Patriots,4.9,From NE,0,,,0,0
503,5,2025,2,39,0,14,Kansas City Chiefs,27,NO,4,New York Jets,4.9,From New York Jets via NO,0,,,0,0
504,5,2025,2,54,0,18,New York Giants,18,NYG,0,,4.9,,0,,,0,0
505,5,2025,2,58,0,2,Miami Dolphins,4,NYJ,4,New York Jets,4.9,From NYJ,0,,,0,0
506,5,2025,2,50,0,19,Philadelphia Eagles,19,PHI,0,,4.9,,0,,,0,0
507,5,2025,2,45,0,8,Pittsburgh Steelers,8,PIT,0,,4.9,,0,,,0,0
508,5,2025,2,38,0,32,Seattle Seahawks,32,SEA,0,,4.9,,0,,,0,0
509,5,2025,2,34,0,31,San Francisco 49ers,31,SF,0,,4.9,,0,,,0,0
510,5,2025,2,46,0,28,Tampa Bay Buccaneers,28,TB,0,,4.9,,0,,,0,0
511,5,2025,2,53,0,23,Green Bay Packers,12,TEN,12,Tennessee Titans,4.9,From TEN,0,,,0,0
512,5,2025,2,60,0,11,Jacksonville Jaguars,20,WAS,20,WAS,4.9,From WAS,0,,,0,0
513,5,2025,3,65,0,29,Arizona Cardinals,29,ARI,0,,3.68,,0,,,0,0
514,5,2025,3,72,0,9,Houston Texans,25,ATL,25,Atlanta Falcons,3.68,From ATL,0,,,0,0
515,5,2025,3,80,0,5,Baltimore Ravens,5,BAL,0,,3.68,,0,,,0,0
516,5,2025,3,69,0,1,Buffalo Bills,1,BUF,0,,3.68,,0,,,0,0
517,5,2025,3,87,0,29,Arizona Cardinals,26,CAR,4,New York Jets,3.68,From New York Jets via CAR,0,,,0,0
518,5,2025,3,81,0,21,Chicago Bears,21,CHI,0,,3.68,,0,,,0,0
519,5,2025,3,93,0,6,Cincinnati Bengals,6,CIN,0,,3.68,,0,,,0,1
520,5,2025,3,89,0,24,Minnesota Vikings,7,CLE,20,Washington Commanders,3.68,From Washington Commanders via CLE,0,,,0,0
521,5,2025,3,96,0,22,Detroit Lions,17,DAL,17,DAL,3.68,From DAL,0,,,0,0
522,5,2025,3,95,0,14,Kansas City Chiefs,13,DEN,12,Tennessee Titans,3.68,From Tennessee Titans via DEN,0,,,0,0
523,5,2025,3,83,0,22,Detroit Lions,22,DET,0,,3.68,,0,,,0,0
524,5,2025,3,91,0,10,Indianapolis Colts,23,GB,4,New York Jets,3.68,From New York Jets via GB,0,,,0,0
525,5,2025,3,67,0,9,Houston Texans,9,HOU,0,,3.68,,0,,,0,0
526,5,2025,3,75,0,10,Indianapolis Colts,10,IND,0,,3.68,,0,,,0,0
527,5,2025,3,76,0,11,Jacksonville Jaguars,11,JAX,0,,3.68,,0,,,0,0
528,5,2025,3,68,0,14,Kansas City Chiefs,14,KC,0,,3.68,,0,,,0,0
529,5,2025,3,84,0,16,Los Angeles Chargers,16,LAC,0,,3.68,,0,,,0,0
