id,season_id,season,draft_round,draft_number,draftee_id,team_id,team,original_team_id,original_team,previous_team_id,previous_team,draft_value,notes,selected_player_id,selected_player_name,selected_player_position,is_compensation,is_void,created_at,updated_at,deleted_at
0,7,2027,1,1,0,10,Indianapolis Colts,10,IND,0,0,9,,0,,,0,0,33:42.6,18:20.9,NULL
0,7,2027,1,2,0,31,San Francisco 49ers,31,SF,0,0,9,From SF,0,,,0,0,33:45.8,18:21.1,NULL
0,7,2027,1,3,0,4,New York Jets,4,NYJ,0,0,9,,0,,,0,0,33:45.0,18:21.4,NULL
0,7,2027,1,4,0,18,New York Giants,18,NYG,0,0,9,,0,,,0,0,33:44.7,18:21.7,NULL
0,7,2027,1,5,0,26,Carolina Panthers,26,CAR,0,0,9,,0,,,0,0,33:40.7,18:22.0,NULL
0,7,2027,1,6,0,27,New Orleans Saints,27,NO,0,0,9,,0,,,0,0,33:44.5,18:22.2,NULL
0,7,2027,1,7,0,9,Houston Texans,9,HOU,0,0,9,,0,,,0,0,33:42.4,18:22.5,NULL
0,7,2027,1,8,0,25,Atlanta Falcons,25,ATL,0,0,9,,0,,,0,0,33:40.0,18:22.8,NULL
0,7,2027,1,9,0,32,Seattle Seahawks,32,SEA,0,0,9,,0,,,0,0,33:45.6,18:23.1,NULL
0,7,2027,1,10,0,16,Los Angeles Chargers,16,LAC,0,0,9,,0,,,0,0,33:43.2,18:23.3,NULL
0,7,2027,1,11,0,11,Jacksonville Jaguars,11,JAX,0,0,9,,0,,,0,0,33:42.8,18:23.6,NULL
0,7,2027,1,12,0,22,Detroit Lions,22,DET,0,0,9,,0,,,0,0,33:41.9,18:23.9,NULL
0,7,2027,1,13,0,24,Minnesota Vikings,24,MIN,0,0,9,,0,,,0,0,33:44.1,18:24.2,NULL
0,7,2027,1,14,0,23,Green Bay Packers,23,GB,0,0,9,,0,,,0,0,33:42.2,18:24.5,NULL
0,7,2027,1,15,0,7,Cleveland Browns,7,CLE,0,0,9,,0,,,0,0,33:41.3,18:24.8,NULL
0,7,2027,1,16,0,5,Baltimore Ravens,5,BAL,0,0,9,,0,,,0,0,33:40.2,18:25.1,NULL
0,7,2027,1,17,0,3,NE,3,NE,0,0,9,,0,,,0,0,33:44.3,18:25.4,NULL
0,7,2027,1,18,0,1,BUF,1,BUF,0,0,9,,0,,,0,0,33:40.5,18:25.7,NULL
0,7,2027,1,19,0,28,TB,28,TB,0,0,9,,0,,,0,0,33:46.0,18:26.0,NULL
0,7,2027,1,20,0,19,PHI,19,PHI,0,0,9,,0,,,0,0,33:45.2,18:26.3,NULL
0,7,2027,1,21,0,21,CHI,21,CHI,0,0,9,,0,,,0,0,33:40.9,18:26.6,NULL
0,7,2027,1,22,0,12,TEN,12,TEN,0,0,9,From TEN,0,,,0,0,33:46.2,18:26.9,NULL
0,7,2027,1,23,0,6,CIN,6,CIN,0,0,9,From Denver Broncos via CIN,0,,,0,0,33:41.1,18:27.2,NULL
0,7,2027,1,24,0,15,LV,15,LV,0,0,9,From LV,0,,,0,0,33:43.7,18:27.4,NULL
0,7,2027,1,25,0,17,DAL,17,DAL,0,0,9,,0,,,0,0,33:41.5,18:27.7,NULL
0,7,2027,1,26,0,2,MIA,2,MIA,0,0,9,,0,,,0,0,33:43.9,18:28.0,NULL
0,7,2027,1,27,0,14,KC,14,KC,0,0,9,,0,,,0,0,33:43.0,18:28.3,NULL
0,7,2027,1,28,0,29,ARI,29,ARI,0,0,9,,0,,,0,0,33:39.8,18:28.5,NULL
0,7,2027,1,29,0,8,PIT,8,PIT,0,0,9,,0,,,0,0,33:45.4,18:28.8,NULL
0,7,2027,1,30,0,11,Jacksonville Jaguars,11,Jacksonville Jaguars,0,0,9,,0,,,0,0,0000-00-00 00:00:00.000,18:29.1,NULL
0,7,2027,1,31,0,30,LAR,30,LAR,0,0,9,From LAR,0,,,0,0,33:43.5,18:29.4,NULL
0,7,2027,1,32,0,13,DEN,13,DEN,0,0,9,,0,,,0,0,33:41.7,18:29.9,NULL
0,7,2027,2,33,0,10,IND,10,IND,0,0,4.9,,0,,,0,0,33:49.5,18:30.2,NULL
0,7,2027,2,34,0,31,SF,31,SF,0,0,4.9,,0,,,0,0,33:52.8,18:30.4,NULL
0,7,2027,2,35,0,4,NYJ,4,NYJ,0,0,4.9,,0,,,0,0,33:51.9,18:30.7,NULL
0,7,2027,2,36,0,18,NYG,18,NYG,0,0,4.9,,0,,,0,0,33:51.7,18:31.0,NULL
0,7,2027,2,37,0,26,CAR,26,CAR,0,0,4.9,,0,,,0,0,0000-00-00 00:00:00.000,18:31.3,NULL
0,7,2027,2,38,0,27,NO,27,NO,0,0,4.9,From NO,0,,,0,0,33:51.5,18:31.5,NULL
0,7,2027,2,39,0,9,HOU,9,HOU,0,0,4.9,,0,,,0,0,0000-00-00 00:00:00.000,18:31.8,NULL
0,7,2027,2,40,0,25,ATL,25,ATL,0,0,4.9,,0,,,0,0,0000-00-00 00:00:00.000,18:32.1,NULL
0,7,2027,2,41,0,22,DET,22,DET,0,0,4.9,,0,,,0,0,33:52.6,18:32.4,NULL
0,7,2027,2,42,0,23,GB,23,GB,0,0,4.9,,0,,,0,0,33:50.1,18:32.6,NULL
0,7,2027,2,43,0,7,CLE,7,CLE,0,0,4.9,,0,,,0,0,33:49.7,18:32.9,NULL
0,7,2027,2,44,0,22,DET,22,DET,0,0,4.9,,0,,,0,0,0000-00-00 00:00:00.000,18:33.2,NULL
0,7,2027,2,45,0,2,Miami Dolphins,2,Miami Dolphins,0,0,4.9,From Washington Commanders via MIN,0,,,0,0,33:50.9,18:33.5,NULL
0,7,2027,2,46,0,23,GB,23,GB,0,0,4.9,,0,,,0,0,0000-00-00 00:00:00.000,18:33.8,NULL
0,7,2027,2,47,0,7,CLE,7,CLE,0,0,4.9,,0,,,0,0,0000-00-00 00:00:00.000,18:34.1,NULL
0,7,2027,2,48,0,5,BAL,5,BAL,0,0,4.9,,0,,,0,0,0000-00-00 00:00:00.000,18:34.4,NULL
0,7,2027,2,49,0,29,ARI,29,ARI,0,0,4.9,From NE,0,,,0,0,33:51.2,18:34.7,NULL
0,7,2027,2,50,0,2,Miami Dolphins,2,Miami Dolphins,0,0,4.9,,0,,,0,0,0000-00-00 00:00:00.000,18:35.0,NULL
0,7,2027,2,51,0,9,HOU,9,HOU,0,0,4.9,,0,,,0,0,33:53.0,18:35.2,NULL
0,7,2027,2,52,0,9,HOU,9,HOU,0,0,4.9,,0,,,0,0,33:52.1,18:35.5,NULL
0,7,2027,2,53,0,21,CHI,21,CHI,0,0,4.9,,0,,,0,0,0000-00-00 00:00:00.000,18:35.8,NULL
0,7,2027,2,54,0,11,Jacksonville Jaguars,11,Jacksonville Jaguars,0,0,4.9,,0,,,0,0,33:53.2,18:36.1,NULL
0,7,2027,2,55,0,25,Atlanta Falcons,25,Atlanta Falcons,0,0,4.9,,0,,,0,0,0000-00-00 00:00:00.000,18:36.4,NULL
0,7,2027,2,56,0,9,HOU,9,HOU,0,0,4.9,From LV,0,,,0,0,33:50.5,18:36.7,NULL
0,7,2027,2,57,0,17,DAL,17,DAL,0,0,4.9,,0,,,0,0,0000-00-00 00:00:00.000,18:37.0,NULL
0,7,2027,2,58,0,14,KC,14,KC,0,0,4.9,,0,,,0,0,33:50.7,18:37.2,NULL
0,7,2027,2,59,0,14,KC,14,KC,0,0,4.9,,0,,,0,0,33:49.9,18:37.5,NULL
0,7,2027,2,60,0,29,ARI,29,ARI,0,0,4.9,,0,,,0,0,0000-00-00 00:00:00.000,18:37.8,NULL
0,7,2027,2,61,0,8,PIT,8,PIT,0,0,4.9,,0,,,0,0,33:52.3,18:38.0,NULL
0,7,2027,2,62,0,20,WAS,20,WAS,0,0,4.9,From WAS,0,,,0,0,33:53.4,18:38.3,NULL
0,7,2027,2,63,0,30,LAR,30,LAR,0,0,4.9,,0,,,0,0,33:50.3,18:38.6,NULL
0,7,2027,2,64,0,18,New York Giants,18,New York Giants,0,0,4.9,,0,,,0,0,0000-00-00 00:00:00.000,18:38.9,NULL
